,return,std,skew,kurt,alpha,beta,RSQ,p_value,std_err,index_return,index_std,index_skew,index_kurt,no_stocks
portfolio: 2013-11-14,0.015485787595637426,0.0781862737011954,-0.21176744423169364,0.962334688054231,0.003441709667102946,0.5380180885549243,0.6080990733076945,0.007040585240864862,0.04875269840389838,0.01174178281338075,0.046141857198239426,-0.6051204595961049,0.2148326001462033,438.0
portfolio: 2014-02-14,0.01656559206191329,0.08452183005597905,0.11631000225395488,1.3283490170309378,0.008034147170014902,0.38009556092878355,0.44956199111798245,0.01203803152826102,0.05486008787943604,0.013859947447107755,0.04061723196751289,-0.35005937395349856,-0.0797457300823976,736.0
portfolio: 2014-05-15,0.01504657941443342,0.07755979216736128,-0.21238921986938825,0.9396086225707604,0.006172484778256619,0.42623830626037773,0.4645021062440316,0.009969904388319229,0.04832641836960513,0.012513623920638726,0.03884231494935501,-0.42692160487986786,0.09655152194778882,687.0
portfolio: 2014-08-14,0.013985466970958808,0.07887682546866019,-0.24322981071962882,0.8483568678404317,0.005591295754266321,0.39184749747669506,0.4493430051355384,0.007524430609356421,0.04975128116223562,0.010835939182163174,0.038131776936412065,-0.3907851635884704,0.15636975719264345,673.0
portfolio: 2015-02-17,0.011846768154161648,0.0823176002705278,-0.23701770717282789,0.7199384219777731,0.004947299851373085,0.37462316431628456,0.4223201588242523,0.03384574936478516,0.05558217260417726,0.009209009247615531,0.03732708121700233,-0.34165451417338183,0.3224476644208454,842.0
portfolio: 2015-05-15,0.013707880202103775,0.07453586115117358,-0.1883534389266164,0.7547536242868933,0.0070296619299425106,0.3534699296212609,0.37888197011467056,0.08012670792585032,0.06805763518489416,0.012122073165345987,0.0343446381342776,-0.17868078162909784,0.39127440653755174,849.0
portfolio: 2015-08-14,0.010594468148599262,0.0692338061108876,-0.10697227684606876,0.8095954865979538,0.006093589665836387,0.4136279570130964,0.40126892223400107,0.036264235005284466,0.060823553149710864,0.010546275699348311,0.03179831674550109,-0.26829433278187176,0.7958767079122309,825.0
portfolio: 2016-02-16,0.0076282806620306285,0.07800013618433159,-0.09256218033528306,0.8309070883052116,0.003757190762643574,0.3357285236976595,0.36567473419650726,0.02466806250476528,0.05485126609982334,0.006383663066858564,0.03453222045241266,-0.08781593848288134,0.34431226462632214,890.0
portfolio: 2016-05-16,0.008040802198583111,0.0934778639820768,-0.14289974325254481,0.8505647518263343,0.0044621047036190135,0.3897105809744065,0.41617433376513285,0.02141436550967141,0.05188190481542517,0.007709638608269154,0.03526784110501008,-0.11571757497394135,0.25522746137509067,941.0
portfolio: 2016-08-15,0.013222297955126684,0.08676839675731447,0.023152710098904333,0.9958236102955559,0.005680427454199696,0.41135647339796944,0.41527911807371404,0.028538179349949077,0.048822001741480096,0.01104561555004062,0.03194007577039987,0.004654671473235611,0.5906547951939998,889.0
portfolio: 2017-02-14,0.011894981865710636,0.07471622061566144,-0.2094840032405688,1.2931624439055756,0.004623862135546577,0.36407208692789617,0.3791832781654002,0.033888857995471804,0.04705439685960689,0.008774555426837027,0.02947684113611432,-0.3179136240193126,0.1961161843759336,853.0
portfolio: 2017-05-15,0.0126334545670001,0.07411793170224029,-0.2031391089945731,1.001586270681177,0.005852806679241263,0.3138841622419127,0.331895372328368,0.048129686474453516,0.04499653025088691,0.009683079266277046,0.027503265589473525,-0.17944786352653605,0.3141880499486769,854.0
portfolio: 2017-08-14,0.015270195972745919,0.10798205332198874,0.0505132546139912,1.1213631625370297,0.004878698912440408,0.3392461274535066,0.36324657905843505,0.0472181055844341,0.04033296728207578,0.009148772722698924,0.027462827038368026,-0.12465602405623785,0.3205652230815157,617.0
portfolio: 2018-02-14,0.011285128719094645,0.10142962318747023,-0.11816542044384515,1.0293946537450922,0.005360316389248678,0.3484762291823424,0.36170639796196535,0.06694732343486912,0.04383272834812815,0.009284769910970488,0.02813579764768218,-0.17887697591958382,0.20308995382755146,718.0
portfolio: 2018-05-15,0.0114707180343014,0.09376443936351787,-0.12998256276446019,0.7156391527448129,0.004847630534604834,0.36450665881429717,0.38297602424211596,0.051935681624112266,0.043725557969150924,0.00883526720212416,0.02835422667664575,-0.15338252938010227,0.1329662249253576,616.0
portfolio: 2018-11-14,0.007916050087062507,0.08688550239033035,-0.2000227405414039,1.3351239784939437,0.004402591271349493,0.27704964550420635,0.2970927954394385,0.06916958883934515,0.046629486925352154,0.006796499868026551,0.028996933709949387,-0.3247329025333317,0.6422386616640106,706.0
portfolio: 2019-02-14,0.007167368447339889,0.07391090754249965,-0.346382636537841,1.3756873189752947,0.0017621350952040011,0.6015742704087856,0.6149896419192098,0.027262823734821258,0.03918729586524725,0.006726707830247888,0.032574333617137,-0.5849829906388735,1.3174819749398834,687.0
portfolio: 2019-08-14,0.006488326433160723,0.09168249533671241,-0.1618009984921828,1.0853698616905483,0.004616868469606082,0.30853341351933583,0.3220685367947219,0.05064828660923008,0.0582064399596382,0.00668810447636964,0.0348105784790404,-0.5563460056269447,0.8359594798365149,736.0
portfolio: 2019-11-14,0.007447759756972408,0.08962956361409667,-0.16105971611335168,0.9860321037011983,0.005153826908459118,0.23740653072688575,0.27177157711646166,0.06387684287101174,0.055891782071124926,0.007158695504234427,0.03488593141095238,-0.5876623629545638,0.8383148104020925,752.0
portfolio: 2020-02-14,0.0038358703862895077,0.1068283155233563,-0.17899078360968115,1.2452946214393894,0.006476648828264462,0.20341750111774767,0.23615224432987936,0.06444773029192892,0.056470009274681016,0.007664921927942967,0.034244451955953895,-0.6847536282000266,1.1565227554467983,806.0
